p1_encoder, p1_pressed, p1_pressed_nmz, ,p2_encoder, p2_pressed, p2_pressed_nmz, ,p1_degree, p1_pressed, p1_pressed_nmz, ,p2_degree, p2_pressed, p2_pressed_nmz
4186433,21300,0.99929627, ,4202169,21165,0.993195683, ,88.66284,21300,0.99929627, ,91.626087,21165,0.993195683
4186439,21300,0.99929627, ,4202163,21165,0.993195683, ,88.663969,21300,0.99929627, ,91.624958,21165,0.993195683
4186446,21300,0.99929627, ,4202156,21165,0.993195683, ,88.665099,21300,0.99929627, ,91.623829,21165,0.993195683
4186452,21300,0.99929627, ,4202150,21165,0.993195683, ,88.666416,21300,0.99929627, ,91.622511,21165,0.993195683
4186459,21300,0.99929627, ,4202143,21165,0.993195683, ,88.667734,21300,0.99929627, ,91.621382,21165,0.993195683
4186466,21300,0.99929627, ,4202136,21165,0.993195683, ,88.668863,21300,0.99929627, ,91.620064,21165,0.993195683
4186474,21300,0.99929627, ,4202129,21165,0.993195683, ,88.670369,21300,0.99929627, ,91.618746,21165,0.993195683
4186481,21300,0.99929627, ,4202122,21165,0.993195683, ,88.671875,21300,0.99929627, ,91.617429,21165,0.993195683
4186490,21300,0.99929627, ,4202115,21165,0.993195683, ,88.673193,21300,0.99929627, ,91.616111,21165,0.993195683
4186498,21300,0.99929627, ,4202107,21165,0.993195683, ,88.674698,21300,0.99929627, ,91.614605,21165,0.993195683
4186506,21300,0.99929627, ,4202099,21165,0.993195683, ,88.676204,21300,0.99929627, ,91.6131,21165,0.993195683
4186514,21300,0.99929627, ,4202091,21165,0.993195683, ,88.677898,21300,0.99929627, ,91.611782,21165,0.993195683
4186522,21300,0.99929627, ,4202083,21165,0.993195683, ,88.679404,21300,0.99929627, ,91.610088,21165,0.993195683
4186531,21300,0.99929627, ,4202075,21170,0.993430314, ,88.68091,21300,0.99929627, ,91.608582,21170,0.993430314
4186539,21300,0.99929627, ,4202066,21170,0.993430314, ,88.682604,21300,0.99929627, ,91.607076,21170,0.993430314
4186548,21300,0.99929627, ,4202058,21170,0.993430314, ,88.684298,21300,0.99929627, ,91.605382,21170,0.993430314
4186557,21300,0.99929627, ,4202048,21170,0.993430314, ,88.685992,21300,0.99929627, ,91.603877,21170,0.993430314
4186566,21300,0.99929627, ,4202040,21170,0.993430314, ,88.687498,21300,0.99929627, ,91.602183,21170,0.993430314
4186575,21300,0.99929627, ,4202030,21170,0.993430314, ,88.689192,21300,0.99929627, ,91.600489,21170,0.993430314
4186585,21300,0.99929627, ,4202022,21170,0.993430314, ,88.691074,21300,0.99929627, ,91.598794,21170,0.993430314
4186594,21300,0.99929627, ,4202013,21170,0.993430314, ,88.692768,21300,0.99929627, ,91.5971,21170,0.993430314
4186604,21300,0.99929627, ,4202004,21170,0.993430314, ,88.694462,21300,0.99929627, ,91.595406,21170,0.993430314
4186613,21300,0.99929627, ,4201995,21170,0.993430314, ,88.696344,21300,0.99929627, ,91.593712,21170,0.993430314
4186623,21295,0.999061694, ,4201986,21170,0.993430314, ,88.698227,21295,0.999061694, ,91.592018,21170,0.993430314
4186633,21295,0.999061694, ,4201977,21170,0.993430314, ,88.699921,21295,0.999061694, ,91.590324,21170,0.993430314
4186642,21295,0.999061694, ,4201968,21170,0.993430314, ,88.701803,21295,0.999061694, ,91.58863,21170,0.993430314
4186652,21295,0.999061694, ,4201959,21170,0.993430314, ,88.703685,21295,0.999061694, ,91.586936,21170,0.993430314
4186662,21295,0.999061694, ,4201950,21170,0.993430314, ,88.705379,21295,0.999061694, ,91.585242,21170,0.993430314
4186671,21295,0.999061694, ,4201942,21170,0.993430314, ,88.707262,21295,0.999061694, ,91.583736,21170,0.993430314
4186681,21295,0.999061694, ,4201933,21170,0.993430314, ,88.709144,21295,0.999061694, ,91.582042,21170,0.993430314
4186690,21295,0.999061694, ,4201924,21170,0.993430314, ,88.711026,21295,0.999061694, ,91.580348,21170,0.993430314
4186700,21295,0.999061694, ,4201915,21170,0.993430314, ,88.71272,21295,0.999061694, ,91.578654,21170,0.993430314
4186709,21295,0.999061694, ,4201907,21170,0.993430314, ,88.714602,21295,0.999061694, ,91.577148,21170,0.993430314
4186719,21295,0.999061694, ,4201898,21170,0.993430314, ,88.716296,21295,0.999061694, ,91.575454,21170,0.993430314
4186728,21295,0.999061694, ,4201890,21170,0.993430314, ,88.71799,21295,0.999061694, ,91.573949,21170,0.993430314
4186736,21295,0.999061694, ,4201881,21170,0.993430314, ,88.719684,21295,0.999061694, ,91.572255,21170,0.993430314
4186746,21295,0.999061694, ,4201873,21170,0.993430314, ,88.721567,21295,0.999061694, ,91.570561,21170,0.993430314
4186756,21295,0.999061694, ,4201864,21170,0.993430314, ,88.723261,21295,0.999061694, ,91.569055,21170,0.993430314
4186765,21290,0.998827117, ,4201856,21170,0.993430314, ,88.724955,21290,0.998827117, ,91.567549,21170,0.993430314
4186774,21290,0.998827117, ,4201848,21170,0.993430314, ,88.726649,21290,0.998827117, ,91.566043,21170,0.993430314
4186783,21290,0.998827117, ,4201840,21170,0.993430314, ,88.728343,21290,0.998827117, ,91.564349,21170,0.993430314
4186792,21290,0.998827117, ,4201831,21170,0.993430314, ,88.730037,21290,0.998827117, ,91.562843,21170,0.993430314
4186801,21290,0.998827117, ,4201823,21170,0.993430314, ,88.731731,21290,0.998827117, ,91.561337,21170,0.993430314
4186809,21290,0.998827117, ,4201815,21170,0.993430314, ,88.733425,21290,0.998827117, ,91.559832,21170,0.993430314
4186818,21290,0.998827117, ,4201807,21170,0.993430314, ,88.734931,21290,0.998827117, ,91.558138,21170,0.993430314
4186827,21285,0.99859254, ,4201798,21170,0.993430314, ,88.736625,21285,0.99859254, ,91.556632,21170,0.993430314
4186835,21285,0.99859254, ,4201790,21170,0.993430314, ,88.738319,21285,0.99859254, ,91.555126,21170,0.993430314
4186843,21285,0.99859254, ,4201782,21170,0.993430314, ,88.739825,21285,0.99859254, ,91.55362,21170,0.993430314
4186851,21285,0.99859254, ,4201772,21175,0.993664946, ,88.741331,21285,0.99859254, ,91.551926,21175,0.993664946
4186859,21285,0.99859254, ,4201764,21175,0.993664946, ,88.742836,21285,0.99859254, ,91.550044,21175,0.993664946
4186868,21285,0.99859254, ,4201756,21175,0.993664946, ,88.744342,21285,0.99859254, ,91.548538,21175,0.993664946
4186876,21285,0.99859254, ,4201747,21175,0.993664946, ,88.746036,21285,0.99859254, ,91.547032,21175,0.993664946
4186884,21285,0.99859254, ,4201739,21175,0.993664946, ,88.747542,21285,0.99859254, ,91.545526,21175,0.993664946
4186892,21285,0.99859254, ,4201731,21175,0.993664946, ,88.749048,21285,0.99859254, ,91.543832,21175,0.993664946
4186901,21285,0.99859254, ,4201722,21175,0.993664946, ,88.750742,21285,0.99859254, ,91.542327,21175,0.993664946
4186909,21285,0.99859254, ,4201714,21175,0.993664946, ,88.752248,21285,0.99859254, ,91.540821,21175,0.993664946
4186917,21285,0.99859254, ,4201706,21175,0.993664946, ,88.753753,21285,0.99859254, ,91.539127,21175,0.993664946
4186926,21280,0.998357964, ,4201697,21175,0.993664946, ,88.755447,21280,0.998357964, ,91.537621,21175,0.993664946
4186935,21280,0.998357964, ,4201689,21175,0.993664946, ,88.756953,21280,0.998357964, ,91.535927,21175,0.993664946
4186942,21280,0.998357964, ,4201680,21175,0.993664946, ,88.758647,21280,0.998357964, ,91.534421,21175,0.993664946
4186951,21280,0.998357964, ,4201672,21175,0.993664946, ,88.759965,21280,0.998357964, ,91.532915,21175,0.993664946
4186959,21280,0.998357964, ,4201664,21180,0.993899578, ,88.761471,21280,0.998357964, ,91.531409,21180,0.993899578
4186967,21280,0.998357964, ,4201656,21180,0.993899578, ,88.762977,21280,0.998357964, ,91.529715,21180,0.993899578
4186974,21280,0.998357964, ,4201647,21180,0.993899578, ,88.764671,21280,0.998357964, ,91.52821,21180,0.993899578
4186983,21280,0.998357964, ,4201639,21180,0.993899578, ,88.765988,21280,0.998357964, ,91.526704,21180,0.993899578
4186990,21280,0.998357964, ,4201631,21180,0.993899578, ,88.767494,21280,0.998357964, ,91.52501,21180,0.993899578
4186998,21280,0.998357964, ,4201622,21180,0.993899578, ,88.769,21280,0.998357964, ,91.523504,21180,0.993899578
4187006,21280,0.998357964, ,4201614,21180,0.993899578, ,88.770506,21280,0.998357964, ,91.521998,21180,0.993899578
4187014,21280,0.998357964, ,4201606,21180,0.993899578, ,88.772011,21280,0.998357964, ,91.520304,21180,0.993899578
4187022,21280,0.998357964, ,4201598,21180,0.993899578, ,88.773517,21280,0.998357964, ,91.518798,21180,0.993899578
4187029,21280,0.998357964, ,4201590,21180,0.993899578, ,88.775023,21280,0.998357964, ,91.517292,21180,0.993899578
4187038,21280,0.998357964, ,4201582,21180,0.993899578, ,88.776529,21280,0.998357964, ,91.515787,21180,0.993899578
4187046,21280,0.998357964, ,4201574,21180,0.993899578, ,88.777846,21280,0.998357964, ,91.514281,21180,0.993899578
4187053,21280,0.998357964, ,4201565,21180,0.993899578, ,88.779352,21280,0.998357964, ,91.512775,21180,0.993899578
4187062,21280,0.998357964, ,4201557,21180,0.993899578, ,88.780858,21280,0.998357964, ,91.511269,21180,0.993899578
4187069,21280,0.998357964, ,4201549,21180,0.993899578, ,88.782364,21280,0.998357964, ,91.509763,21180,0.993899578
4187078,21280,0.998357964, ,4201542,21180,0.993899578, ,88.78387,21280,0.998357964, ,91.508258,21180,0.993899578
4187085,21280,0.998357964, ,4201533,21180,0.993899578, ,88.785375,21280,0.998357964, ,91.506752,21180,0.993899578
4187093,21280,0.998357964, ,4201526,21180,0.993899578, ,88.786881,21280,0.998357964, ,91.505246,21180,0.993899578
4187100,21280,0.998357964, ,4201517,21180,0.993899578, ,88.788199,21280,0.998357964, ,91.50374,21180,0.993899578
4187108,21280,0.998357964, ,4201509,21180,0.993899578, ,88.789705,21280,0.998357964, ,91.502234,21180,0.993899578
